,drug_name,drug_id,ind_name,ind_id,status
1808,Methotrexate,DB00563,Rheumatoid Arthritis,C0003873,Approved
1809,Methotrexate,DB00563,Osteosarcoma of bone,C0585442,Approved
1810,Carbamazepine,DB00564,Epilepsy,C0014544,Approved
1811,Carbamazepine,DB00564,Tonic - clonic seizures,C0494475,Approved
1812,Carbamazepine,DB00564,Epilepsy characterized by intractable complex partial seizures,C2711653,Approved
1813,Carbamazepine,DB00564,Simple Partial Seizures,C0234974,Approved
1814,Carbamazepine,DB00564,Lennox-Gastaut syndrome,C0238111,Approved
1815,Carbamazepine,DB00564,Glossopharyngeal Neuralgia,C0154731,Approved
1816,Carbamazepine,DB00564,Mixed bipolar I disorder,C0236780,Approved
1817,Carbamazepine,DB00564,Tonic-Clonic Epilepsy,C0014549,Approved
1818,Carbamazepine,DB00564,"Bipolar affective disorder, current episode manic",C0338873,Approved
1819,Carbamazepine,DB00564,Bipolar disorder in remission,C0270425,Approved
1820,Carbamazepine,DB00564,"Epilepsies, Partial",C0014547,Approved
1821,Carbamazepine,DB00564,mixed; epileptic,C1398376,Approved
1822,Carbamazepine,DB00564,Trigeminal Neuralgia,C0040997,Approved
1823,Succimer,DB00566,Accidental poisoning by lead and its compounds and fumes,C0261486,Approved
1824,Cephalexin,DB00567,Infective otitis media,C0729586,Approved
1825,Cephalexin,DB00567,prostatitis,C0033581,Approved
1826,Cephalexin,DB00567,Klebsiella cystitis,C0520775,Approved
1827,Cephalexin,DB00567,Infection of skin AND/OR subcutaneous tissue,C0178299,Approved
1828,Cephalexin,DB00567,Arthropathy associated with infection,C0157749,Approved
1829,Cephalexin,DB00567,Acute otitis media,C0271429,Approved
1830,Cephalexin,DB00567,Streptococcus pyogenes infection,C0554628,Approved
1831,Cephalexin,DB00567,Proteus urinary tract infection,C0577709,Approved
1832,Cephalexin,DB00567,Osteomyelitis due to Staphylococcus aureus,C1997728,Approved
1833,Cephalexin,DB00567,Streptococcal tonsillitis,C0275804,Approved
1834,Cephalexin,DB00567,Infection of bone,C2242472,Approved
1835,Cephalexin,DB00567,Escherichia coli urinary tract infection,C0577708,Approved
1836,Cephalexin,DB00567,Staphylococcus aureus infection,C1318973,Approved
1837,Cinnarizine,DB00568,Vertigo,C0042571,Approved
1838,Cinnarizine,DB00568,Nausea,C0027497,Approved
1839,Cinnarizine,DB00568,Motion Sickness,C0026603,Approved
1840,Fondaparinux sodium,DB00569,Pulmonary Thromboembolisms,C0524702,Approved
1841,Fondaparinux sodium,DB00569,Deep Vein Thrombosis,C0149871,Approved
1842,Vinblastine,DB00570,Gestational Trophoblastic Neoplasms,C1135868,Approved
1843,Vinblastine,DB00570,Hodgkin Disease,C0019829,Approved
1844,Vinblastine,DB00570,Carcinoma breast stage IV,C0278488,Approved
1845,Vinblastine,DB00570,Letterer-Siwe Disease,C0023381,Approved
1846,Vinblastine,DB00570,Malignant neoplasm of testis,C0153594,Approved
1847,Vinblastine,DB00570,"Lymphoma, Non-Hodgkin",C0024305,Approved
1848,Vinblastine,DB00570,Mycosis Fungoides,C0026948,Approved
1849,Vinblastine,DB00570,Kaposi Sarcoma,C0036220,Approved
1850,Vinblastine,DB00570,Malignant epithelial neoplasm of female breast,C3163805,Approved
1851,Propranolol,DB00571,Idiopathic hypertrophic subaortic stenosis,C0700053,Approved
1852,Propranolol,DB00571,Atrial Fibrillation,C0004238,Approved
1853,Propranolol,DB00571,Supraventricular tachycardia,C0039240,Approved
1854,Propranolol,DB00571,Angina Pectoris,C0002962,Approved
1855,Propranolol,DB00571,Hypertrophic Cardiomyopathy,C0007194,Approved
1856,Propranolol,DB00571,Hypertensive disease,C0020538,Approved
1857,Propranolol,DB00571,Hemangioma,C0018916,Approved
1858,Fenoprofen,DB00573,Rheumatoid Arthritis,C0003873,Approved
1859,Fenoprofen,DB00573,Degenerative polyarthritis,C0029408,Approved
1860,Fenoprofen,DB00573,Pain,C0030193,Approved
1861,Clonidine,DB00575,"Glaucoma, Open-Angle",C0017612,Approved
1862,Clonidine,DB00575,Attention deficit hyperactivity disorder,C1263846,Approved
1863,Clonidine,DB00575,Hypertensive disease,C0020538,Approved
1864,Clonidine,DB00575,Severe pain,C0278140,Approved
1865,Sulfamethizole,DB00576,Proteus urinary tract infection,C0577709,Approved
1866,Sulfamethizole,DB00576,Klebsiella cystitis,C0520775,Approved
1867,Sulfamethizole,DB00576,Escherichia coli urinary tract infection,C0577708,Approved
1868,Sulfamethizole,DB00576,Bacterial urinary infection,C0729524,Approved
1869,Sulfamethizole,DB00576,Infective otitis media,C0729586,Approved
1870,Sulfamethizole,DB00576,Acute otitis media,C0271429,Approved
1871,Sulfamethizole,DB00576,Shigella Infections,C0013371,Approved
1872,Valaciclovir,DB00577,Herpes zoster disease,C0019360,Approved
1873,Valaciclovir,DB00577,Recurrent genital herpes simplex,C1274323,Approved
1874,Valaciclovir,DB00577,Herpes Labialis,C0019345,Approved
1875,Valaciclovir,DB00577,Chickenpox,C0008049,Approved
1876,Valaciclovir,DB00577,Genital Herpes,C0019342,Approved
1877,Carbenicillin,DB00578,prostatitis,C0033581,Approved
1878,Carbenicillin,DB00578,Escherichia coli urinary tract infection,C0577708,Approved
1879,Carbenicillin,DB00578,Proteus urinary tract infection,C0577709,Approved
1880,Carbenicillin,DB00578,Urinary tract infection,C0042029,Approved
1881,Carbenicillin,DB00578,URINARY TRACT INFECTION ENTEROCOCCUS,C0749958,Approved
1882,Carbenicillin,DB00578,Bacterial urinary infection,C0729524,Approved
1883,Mazindol,DB00579,Obesity,C0028754,Approved
1884,Lactulose,DB00581,Hepatic Encephalopathy,C0019151,Approved
1885,Lactulose,DB00581,Hyperammonemia,C0220994,Approved
1886,Lactulose,DB00581,Constipation,C0009806,Approved
1887,Voriconazole,DB00582,Fusariosis,C0276758,Approved
1888,Voriconazole,DB00582,Systemic candidiasis,C0153252,Approved
1889,Voriconazole,DB00582,Candidiasis of the esophagus,C0239295,Approved
1890,Voriconazole,DB00582,Invasive Pulmonary Aspergillosis,C0276653,Approved
1891,Voriconazole,DB00582,Candidemia,C0877445,Approved
1892,L-Carnitine,DB00583,Carnitine deficiency,C1142132,Approved
1893,Enalapril,DB00584,Asymptomatic left ventricular systolic dysfunction,C3698411,Approved
1894,Enalapril,DB00584,Hypertensive disease,C0020538,Approved
1895,Enalapril,DB00584,Congestive heart failure,C0018802,Approved
1896,Nizatidine,DB00585,Erosive esophagitis,C0267055,Approved
1897,Nizatidine,DB00585,Peptic Esophagitis,C0014869,Approved
1898,Nizatidine,DB00585,Dyspepsia,C0013395,Approved
1899,Nizatidine,DB00585,Duodenal Ulcer,C0013295,Approved
1900,Nizatidine,DB00585,Peptic Ulcer,C0030920,Approved
1901,Nizatidine,DB00585,Heartburn,C0018834,Approved
1902,Nizatidine,DB00585,Gastroesophageal reflux disease,C0017168,Approved
1903,Nizatidine,DB00585,Gastric ulcer,C0038358,Approved
1904,Diclofenac,DB00586,Degenerative polyarthritis,C0029408,Approved
1905,Diclofenac,DB00586,Actinic keratosis,C0022602,Approved
1906,Diclofenac,DB00586,"Osteoarthritis, Knee",C0409959,Approved
1907,Diclofenac,DB00586,Rheumatoid Arthritis,C0003873,Approved
1908,Diclofenac,DB00586,Dysmenorrhea,C0013390,Approved
1909,Diclofenac,DB00586,Sprains and Strains,C0038048,Approved
1910,Diclofenac,DB00586,Ankylosing spondylitis,C0038013,Approved
1911,Diclofenac,DB00586,Pain,C0030193,Approved
1912,Fluticasone Propionate,DB00588,Seborrheic dermatitis,C0036508,Approved
1913,Fluticasone Propionate,DB00588,Pruritus of genital organs,C0033777,Approved
1914,Fluticasone Propionate,DB00588,Exanthema,C0015230,Approved
1915,Fluticasone Propionate,DB00588,Allergic rhinitis (disorder),C2607914,Approved
1916,Fluticasone Propionate,DB00588,Allergic asthma,C0155877,Approved
1917,Fluticasone Propionate,DB00588,Granuloma Annulare,C0085074,Approved
1918,Fluticasone Propionate,DB00588,Chronic small plaque psoriasis,C0406317,Approved
1919,Fluticasone Propionate,DB00588,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved
1920,Fluticasone Propionate,DB00588,Lichen Simplex Chronicus,C0149922,Approved
1921,Fluticasone Propionate,DB00588,Intrinsic asthma,C0155880,Approved
1922,Fluticasone Propionate,DB00588,Scalp psoriasis,C0406326,Approved
1923,Fluticasone Propionate,DB00588,"Lupus Erythematosus, Discoid",C0024138,Approved
1924,Fluticasone Propionate,DB00588,Pruritus Ani,C0033775,Approved
1925,Fluticasone Propionate,DB00588,Contact Dermatitis,C0011616,Approved
1926,Fluticasone Propionate,DB00588,Pulmonary Emphysema,C0034067,Approved
1927,Fluticasone Propionate,DB00588,"Dermatitis, Atopic",C0011615,Approved
1928,Lisuride,DB00589,Migraine Disorders,C0149931,Approved
1929,Lisuride,DB00589,Amenorrhea,C0002453,Approved
1930,Lisuride,DB00589,Acromegaly,C0001206,Approved
1931,Doxazosin,DB00590,Hypertensive disease,C0020538,Approved
1932,Doxazosin,DB00590,Prostatic Hypertrophy,C1739363,Approved
1933,Fluocinolone Acetonide,DB00591,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved
1934,Fluocinolone Acetonide,DB00591,Exanthema,C0015230,Approved
1935,Fluocinolone Acetonide,DB00591,Pruritus Ani,C0033775,Approved
1936,Fluocinolone Acetonide,DB00591,"Lupus Erythematosus, Discoid",C0024138,Approved
1937,Fluocinolone Acetonide,DB00591,Contact Dermatitis,C0011616,Approved
1938,Fluocinolone Acetonide,DB00591,Lichen Simplex Chronicus,C0149922,Approved
1939,Fluocinolone Acetonide,DB00591,Granuloma Annulare,C0085074,Approved
1940,Fluocinolone Acetonide,DB00591,Chloasma,C0025218,Approved
1941,Fluocinolone Acetonide,DB00591,"Dermatitis, Atopic",C0011615,Approved
1942,Fluocinolone Acetonide,DB00591,Chronic small plaque psoriasis,C0406317,Approved
1943,Fluocinolone Acetonide,DB00591,Scalp psoriasis,C0406326,Approved
1944,Fluocinolone Acetonide,DB00591,Choroiditis,C0008526,Approved
1945,Fluocinolone Acetonide,DB00591,Seborrheic dermatitis,C0036508,Approved
1946,Fluocinolone Acetonide,DB00591,Pruritus of genital organs,C0033777,Approved
1947,Fluocinolone Acetonide,DB00591,Scurfiness of scalp,C0423775,Approved
1948,Piperazine,DB00592,Enterobiasis,C0086227,Approved
1949,Piperazine,DB00592,Ascariasis,C0003950,Approved
1950,Ethosuximide,DB00593,Absence Epilepsy,C0014553,Approved
1951,Amiloride,DB00594,Edema,C0013604,Approved
1952,Amiloride,DB00594,Hypertensive disease,C0020538,Approved
1953,Oxytetracycline,DB00595,Bacterial keratitis,C0854211,Approved
1954,Oxytetracycline,DB00595,Rocky Mountain Spotted Fever,C0035793,Approved
1955,Oxytetracycline,DB00595,Lymphogranuloma Venereum,C0024286,Approved
1956,Oxytetracycline,DB00595,TYPHUS,C0041471,Approved
1957,Oxytetracycline,DB00595,Acute gonococcal urethritis,C0275652,Approved
1958,Oxytetracycline,DB00595,Bacterial conjunctivitis,C0009768,Approved
1959,Oxytetracycline,DB00595,Brucellosis,C0006309,Approved
1960,Oxytetracycline,DB00595,Relapsing Fever,C0035021,Approved
1961,Oxytetracycline,DB00595,Actinomycosis,C0001261,Approved
1962,Oxytetracycline,DB00595,Chlamydia trachomatis infection of genital structure,C1997322,Approved
1963,Oxytetracycline,DB00595,Syphilis,C0039128,Approved
1964,Oxytetracycline,DB00595,Acute gonococcal cervicitis,C0153195,Approved
1965,Oxytetracycline,DB00595,Infective otitis media,C0729586,Approved
1966,Oxytetracycline,DB00595,Pharyngitis,C0031350,Approved
1967,Oxytetracycline,DB00595,Psittacosis,C0029291,Approved
1968,Oxytetracycline,DB00595,Trachoma,C0040592,Approved
1969,Oxytetracycline,DB00595,Gingivostomatitis,C0149704,Approved
1970,Oxytetracycline,DB00595,Bronchitis,C0006277,Approved
1971,Oxytetracycline,DB00595,Granuloma Inguinale,C0018190,Approved
1972,Oxytetracycline,DB00595,Sinusitis,C0037199,Approved
1973,Oxytetracycline,DB00595,Acute gonococcal epididymo-orchitis,C0153193,Approved
1974,Oxytetracycline,DB00595,Gonorrhea of rectum,C0275665,Approved
1975,Oxytetracycline,DB00595,Gonorrhea of pharynx,C0149966,Approved
1976,Oxytetracycline,DB00595,Acute gonococcal endometritis,C0153196,Approved
1977,Oxytetracycline,DB00595,Infection of skin AND/OR subcutaneous tissue,C0178299,Approved
1978,Oxytetracycline,DB00595,Rickettsialpox,C0035597,Approved
1979,Oxytetracycline,DB00595,Pneumonia,C0032285,Approved
1980,Oxytetracycline,DB00595,Urinary tract infection,C0042029,Approved
1981,Oxytetracycline,DB00595,Q Fever,C0034362,Approved
1982,Oxytetracycline,DB00595,Yaws,C0043388,Approved
1983,Ulobetasol,DB00596,Granuloma Annulare,C0085074,Approved
1984,Ulobetasol,DB00596,Seborrheic dermatitis,C0036508,Approved
1985,Ulobetasol,DB00596,Lichen Simplex Chronicus,C0149922,Approved
1986,Ulobetasol,DB00596,Chronic small plaque psoriasis,C0406317,Approved
1987,Ulobetasol,DB00596,Scalp psoriasis,C0406326,Approved
1988,Ulobetasol,DB00596,"Lupus Erythematosus, Discoid",C0024138,Approved
1989,Ulobetasol,DB00596,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved
1990,Ulobetasol,DB00596,Pruritus of genital organs,C0033777,Approved
1991,Ulobetasol,DB00596,Contact Dermatitis,C0011616,Approved
1992,Ulobetasol,DB00596,Exanthema,C0015230,Approved
1993,Ulobetasol,DB00596,Pruritus Ani,C0033775,Approved
1994,Labetalol,DB00598,Hypertensive disease,C0020538,Approved
1995,Thiopental,DB00599,Epilepsy,C0014544,Approved
1996,Thiopental,DB00599,Pseudotumor Cerebri,C0033845,Approved
1997,Linezolid,DB00601,Streptococcus pyogenes infection,C0554628,Approved
1998,Linezolid,DB00601,Staphylococcus aureus infection,C1318973,Approved
1999,Linezolid,DB00601,Staphylococcal Pneumonia,C0032308,Approved
2000,Ivermectin,DB00602,Onchocerciasis,C0029001,Approved
2001,Ivermectin,DB00602,Strongyloidiasis,C0038463,Approved
2002,Medroxyprogesterone acetate,DB00603,Secondary malignant neoplasm of kidney,C0153685,Approved
2003,Medroxyprogesterone acetate,DB00603,Metrorrhagia,C0025874,Approved
2004,Medroxyprogesterone acetate,DB00603,Endometriosis,C0014175,Approved
2005,Medroxyprogesterone acetate,DB00603,Endometrial Carcinoma,C0476089,Approved
2006,Medroxyprogesterone acetate,DB00603,Hot flushes,C0600142,Approved
2007,Medroxyprogesterone acetate,DB00603,Secondary physiologic amenorrhea,C0232940,Approved
2008,Medroxyprogesterone acetate,DB00603,Atrophic Vaginitis,C0221392,Approved
2009,Cisapride,DB00604,Gastroesophageal reflux disease,C0017168,Approved
2010,Sulindac,DB00605,Ankylosing spondylitis,C0038013,Approved
2011,Sulindac,DB00605,Rheumatoid Arthritis,C0003873,Approved
2012,Sulindac,DB00605,Degenerative polyarthritis,C0029408,Approved
2013,Sulindac,DB00605,"Arthritis, Gouty",C0003868,Approved
2014,Sulindac,DB00605,Bursitis,C0006444,Approved
2015,Sulindac,DB00605,Tendinitis,C0039503,Approved
2016,Nafcillin,DB00607,Infection of skin AND/OR subcutaneous tissue,C0178299,Approved
2017,Nafcillin,DB00607,Sepsis due to Staphylococcus aureus,C2887088,Approved
2018,Nafcillin,DB00607,Osteomyelitis due to Staphylococcus aureus,C1997728,Approved
2019,Nafcillin,DB00607,Staphylococcal meningitis,C0154640,Approved
2020,Nafcillin,DB00607,Staphylococcus aureus infection,C1318973,Approved
2021,Nafcillin,DB00607,Staphylococcal Pneumonia,C0032308,Approved
2022,Nafcillin,DB00607,Staphylococcal Infections,C0038160,Approved
2023,Nafcillin,DB00607,Infection of bone,C2242472,Approved
2024,Nafcillin,DB00607,Staphylococcal endocarditis,C0520767,Approved
2025,Chloroquine,DB00608,Quartan malaria,C0024536,Approved
2026,Chloroquine,DB00608,Rheumatoid Arthritis,C0003873,Approved
2027,Chloroquine,DB00608,"Malaria, Falciparum",C0024535,Approved
2028,Chloroquine,DB00608,"Lupus Erythematosus, Systemic",C0024141,Approved
2029,Chloroquine,DB00608,"Lupus Erythematosus, Discoid",C0024138,Approved
2030,Chloroquine,DB00608,Ovale malaria,C0152072,Approved
2031,Chloroquine,DB00608,"Malaria, Vivax",C0024537,Approved
2032,Ethionamide,DB00609,Acute tuberculosis,C0275959,Approved
2033,Ethionamide,DB00609,"Tuberculosis, Pulmonary",C0041327,Approved
2034,Butorphanol,DB00611,Pain,C0030193,Approved
2035,Butorphanol,DB00611,Labor Pain,C0474368,Approved
2036,Bisoprolol,DB00612,Hypertensive disease,C0020538,Approved
2037,Rifabutin,DB00615,Pulmonary Mycobacterium avium complex infection,C2733595,Approved
2038,Paramethadione,DB00617,Epilepsy,C0014544,Approved
2039,Paramethadione,DB00617,Absence Epilepsy,C0014553,Approved
2040,Demeclocycline,DB00618,Trachoma,C0040592,Approved
2041,Demeclocycline,DB00618,Gonorrhea,C0018081,Approved
2042,Demeclocycline,DB00618,Infection of skin AND/OR subcutaneous tissue,C0178299,Approved
2043,Demeclocycline,DB00618,Chancroids,C0007947,Approved
2044,Demeclocycline,DB00618,Acute gonococcal urethritis,C0275652,Approved
2045,Demeclocycline,DB00618,Sinusitis,C0037199,Approved
2046,Demeclocycline,DB00618,Urinary tract infection,C0042029,Approved
2047,Demeclocycline,DB00618,Infective otitis media,C0729586,Approved
2048,Demeclocycline,DB00618,Acute gonococcal endometritis,C0153196,Approved
2049,Demeclocycline,DB00618,Actinomycosis,C0001261,Approved
2050,Demeclocycline,DB00618,Q Fever,C0034362,Approved
2051,Demeclocycline,DB00618,Gonorrhea of pharynx,C0149966,Approved
2052,Demeclocycline,DB00618,Yaws,C0043388,Approved
2053,Demeclocycline,DB00618,Lymphogranuloma Venereum,C0024286,Approved
2054,Demeclocycline,DB00618,Pharyngitis,C0031350,Approved
2055,Demeclocycline,DB00618,Rocky Mountain Spotted Fever,C0035793,Approved
2056,Demeclocycline,DB00618,Rickettsialpox,C0035597,Approved
2057,Demeclocycline,DB00618,Brucellosis,C0006309,Approved
2058,Demeclocycline,DB00618,Psittacosis,C0029291,Approved
2059,Demeclocycline,DB00618,TYPHUS,C0041471,Approved
2060,Demeclocycline,DB00618,Gingivostomatitis,C0149704,Approved
2061,Demeclocycline,DB00618,Gonorrhea of rectum,C0275665,Approved
2062,Demeclocycline,DB00618,Syphilis,C0039128,Approved
2063,Demeclocycline,DB00618,Acute gonococcal cervicitis,C0153195,Approved
2064,Demeclocycline,DB00618,Klebsiella cystitis,C0520775,Approved
2065,Demeclocycline,DB00618,Pneumonia,C0032285,Approved
2066,Demeclocycline,DB00618,Staphylococcus aureus infection,C1318973,Approved
2067,Demeclocycline,DB00618,Bronchitis,C0006277,Approved
2068,Demeclocycline,DB00618,pharyngitis due to Haemophilus influenzae,C2062475,Approved
2069,Demeclocycline,DB00618,Relapsing Fever,C0035021,Approved
2070,Demeclocycline,DB00618,Granuloma Inguinale,C0018190,Approved
2071,Imatinib,DB00619,"Leukemia, Myeloid, Accelerated Phase",C0023472,Approved
2072,Imatinib,DB00619,"Mastocytosis, Systemic",C0221013,Approved
2073,Imatinib,DB00619,"Leukemia, Myeloid, Chronic-Phase",C0023474,Approved
2074,Imatinib,DB00619,Blast Phase,C0005699,Approved
2075,Imatinib,DB00619,Philadelphia chromosome positive chronic myelogenous leukemia,C0279543,Approved
2076,Imatinib,DB00619,Chronic eosinophilic leukemia,C0346421,Approved
2077,Imatinib,DB00619,Philadelphia chromosome-positive acute lymphoblastic leukemia,C1960397,Approved
2078,Imatinib,DB00619,Dermatofibrosarcoma Protuberans,C0392784,Approved
2079,Imatinib,DB00619,Idiopathic Hypereosinophilic Syndrome,C0206141,Approved
2080,Imatinib,DB00619,Gastrointestinal Stromal Tumors,C0238198,Approved
2081,Triamcinolone,DB00620,Scalp psoriasis,C0406326,Approved
2082,Triamcinolone,DB00620,Tendinitis,C0039503,Approved
2083,Triamcinolone,DB00620,"Lymphoma, Non-Hodgkin",C0024305,Approved
2084,Triamcinolone,DB00620,Inflammatory Bowel Diseases,C0021390,Approved
2085,Triamcinolone,DB00620,Giant Cell Arteritis,C0039483,Approved
2086,Triamcinolone,DB00620,Granuloma Annulare,C0085074,Approved
2087,Triamcinolone,DB00620,Uveitis,C0042164,Approved
2088,Triamcinolone,DB00620,Aphthous Stomatitis,C0038363,Approved
2089,Triamcinolone,DB00620,Keloid,C0022548,Approved
2090,Triamcinolone,DB00620,Cooley's anemia,C0002875,Approved
2091,Triamcinolone,DB00620,Gingival Diseases,C0017563,Approved
2092,Triamcinolone,DB00620,Status Asthmaticus,C0038218,Approved
2093,Triamcinolone,DB00620,Simple Pulmonary Eosinophilia,C0242459,Approved
2094,Triamcinolone,DB00620,Exanthema,C0015230,Approved
2095,Triamcinolone,DB00620,Erythema Multiforme,C0014742,Approved
2096,Triamcinolone,DB00620,Contact Dermatitis,C0011616,Approved
2097,Triamcinolone,DB00620,"Arthritis, Gouty",C0003868,Approved
2098,Triamcinolone,DB00620,Autoimmune Diseases,C0004364,Approved
2099,Triamcinolone,DB00620,Post traumatic osteoarthritis,C2894027,Approved
2100,Triamcinolone,DB00620,Lichen Simplex Chronicus,C0149922,Approved
2101,Triamcinolone,DB00620,Laryngeal Edema,C0023052,Approved
2102,Triamcinolone,DB00620,Autoimmune hemolytic anemia,C0002880,Approved
2103,Triamcinolone,DB00620,Bursitis,C0006444,Approved
2104,Triamcinolone,DB00620,Exfoliative dermatitis,C0011606,Approved
2105,Triamcinolone,DB00620,Chronic small plaque psoriasis,C0406317,Approved
2106,Triamcinolone,DB00620,Crohn Disease,C0010346,Approved
2107,Triamcinolone,DB00620,Asthma,C0004096,Approved
2108,Triamcinolone,DB00620,Acute lymphocytic leukemia,C0023449,Approved
2109,Triamcinolone,DB00620,Adrenogenital disorder,C0701163,Approved
2110,Triamcinolone,DB00620,Disorder of eye,C0015397,Approved
2111,Triamcinolone,DB00620,Thyroiditis,C0040147,Approved
2112,Triamcinolone,DB00620,Pemphigus,C0030807,Approved
2113,Triamcinolone,DB00620,Aspiration pneumonitis,C1761609,Approved
2114,Triamcinolone,DB00620,Sarcoidosis,C0036202,Approved
2115,Triamcinolone,DB00620,Pruritus Ani,C0033775,Approved
2116,Triamcinolone,DB00620,Multiple Sclerosis,C0026769,Approved
2117,Triamcinolone,DB00620,Alopecia Areata,C0002171,Approved
2118,Triamcinolone,DB00620,"Arthritis, Psoriatic",C0003872,Approved
2119,Triamcinolone,DB00620,Cutaneous Candidiasis,C0006846,Approved
2120,Triamcinolone,DB00620,Epicondylitis,C0014488,Approved
2121,Triamcinolone,DB00620,Trichinellosis,C0040896,Approved
2122,Triamcinolone,DB00620,Addisonian crisis,C0151467,Approved
2123,Triamcinolone,DB00620,Berylliosis,C0005138,Approved
2124,Triamcinolone,DB00620,Lichen Planus,C0023646,Approved
2125,Triamcinolone,DB00620,"Ophthalmia, Sympathetic",C0029077,Approved
2126,Triamcinolone,DB00620,Acquired thrombocytopenia,C0154301,Approved
2127,Triamcinolone,DB00620,Mycosis Fungoides,C0026948,Approved
2128,Triamcinolone,DB00620,Synovitis,C0039103,Approved
2129,Triamcinolone,DB00620,Serum Sickness,C0036830,Approved
2130,Triamcinolone,DB00620,"Dermatitis, Atopic",C0011615,Approved
2131,Triamcinolone,DB00620,"Lupus Erythematosus, Systemic",C0024141,Approved
2132,Triamcinolone,DB00620,Allergic rhinitis (disorder),C2607914,Approved
2133,Triamcinolone,DB00620,Nephrotic Syndrome,C0027726,Approved
2134,Triamcinolone,DB00620,Rheumatic Heart Disease,C0035439,Approved
2135,Triamcinolone,DB00620,Pruritus of genital organs,C0033777,Approved
2136,Triamcinolone,DB00620,Seborrheic dermatitis,C0036508,Approved
2137,Triamcinolone,DB00620,Tenosynovitis,C0039520,Approved
2138,Triamcinolone,DB00620,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved
2139,Triamcinolone,DB00620,Transplanted organ rejection,C0345468,Approved
2140,Triamcinolone,DB00620,Rheumatoid Arthritis,C0003873,Approved
2141,Triamcinolone,DB00620,Humoral hypercalcemia of malignancy (disorder),C0149911,Approved
2142,Triamcinolone,DB00620,Hodgkin Disease,C0019829,Approved
2143,Triamcinolone,DB00620,Dermatitis Herpetiformis,C0011608,Approved
2144,Triamcinolone,DB00620,Psoriasis,C0033860,Approved
2145,Triamcinolone,DB00620,Angioedema,C0002994,Approved
2146,Triamcinolone,DB00620,"Lupus Erythematosus, Discoid",C0024138,Approved
2147,Triamcinolone,DB00620,Adrenal cortical hypofunction,C0405580,Approved
2148,Triamcinolone,DB00620,Ankylosing spondylitis,C0038013,Approved
2149,Triamcinolone,DB00620,Cerebral Edema,C0006114,Approved
2150,Triamcinolone,DB00620,Subacute bursitis,C1290159,Approved
2151,Triamcinolone,DB00620,Hay fever,C0018621,Approved
2152,Triamcinolone,DB00620,"Tuberculosis, Miliary",C0041321,Approved
2153,Triamcinolone,DB00620,Dermatologic disorders,C0037274,Approved
2154,Triamcinolone,DB00620,"Anemia, Diamond-Blackfan",C1260899,Approved
2155,Triamcinolone,DB00620,Addison Disease,C0001403,Approved
2156,Triamcinolone,DB00620,Congenital adrenal hyperplasia,C0001627,Approved
2157,Triamcinolone,DB00620,Musculoskeletal Diseases,C0026857,Approved
2158,Triamcinolone,DB00620,"Lymphoma, Follicular",C0024301,Approved
2159,Triamcinolone,DB00620,Necrobiosis Lipoidica Diabeticorum,C0392445,Approved
2160,Nicardipine,DB00622,Hypertensive disease,C0020538,Approved
2161,Fluphenazine,DB00623,Schizophrenia,C0036341,Approved
2162,Fluphenazine,DB00623,Psychotic Disorders,C0033975,Approved
2163,Testosterone,DB00624,Primary hypogonadism,C0948896,Approved
2164,Testosterone,DB00624,Hypogonadotropic hypogonadism,C0271623,Approved
2165,Testosterone,DB00624,Cryptorchidism,C0010417,Approved
2166,Testosterone,DB00624,Klinefelter Syndrome,C0022735,Approved
2167,Testosterone,DB00624,Delayed Puberty,C0034012,Approved
2168,Testosterone,DB00624,Testicular hypogonadism,C0151721,Approved
2169,Testosterone,DB00624,Deficiency of testosterone biosynthesis,C0342527,Approved
2170,Testosterone,DB00624,Hormone receptor positive malignant neoplasm of breast,C1562029,Approved
2171,Testosterone,DB00624,Hot flushes,C0600142,Approved
2172,Testosterone,DB00624,Hypopituitarism,C0020635,Approved
2173,Efavirenz,DB00625,HIV Infections,C0019693,Approved
2174,Bacitracin,DB00626,Corneal abrasion,C0010032,Approved
2175,Bacitracin,DB00626,Bacterial keratitis,C0854211,Approved
2176,Bacitracin,DB00626,Keratitis,C0022568,Approved
2177,Bacitracin,DB00626,Blepharoconjunctivitis,C0005743,Approved
2178,Bacitracin,DB00626,Infective blepharitis,C0729587,Approved
2179,Niacin,DB00627,Hypercholesterolemia,C0020443,Approved
2180,Niacin,DB00627,Hypertriglyceridemia,C0020557,Approved
2181,Niacin,DB00627,Familial hypercholesterolemia - heterozygous,C0342882,Approved
2182,Niacin,DB00627,"Hyperlipidemia, Familial Combined",C0020474,Approved
2183,Niacin,DB00627,Vitamin Deficiency,C1510471,Approved
2184,Niacin,DB00627,Hyperlipidemia,C0020473,Approved
2185,Clorazepate,DB00628,Anxiety,C0003467,Approved
2186,Clorazepate,DB00628,Alcohol withdrawal syndrome,C0236663,Approved
2187,Guanabenz,DB00629,Hypertensive disease,C0020538,Approved
2188,Alendronic acid,DB00630,"Osteoporosis, Postmenopausal",C0029458,Approved
2189,Alendronic acid,DB00630,Osteitis Deformans,C0029401,Approved
2190,Clofarabine,DB00631,Acute lymphocytic leukemia,C0023449,Approved
